S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
0,Nissan Terrano XV,Hyderabad,2007,127225,Diesel,Automatic,Second,24.16 kmpl,1561 CC,131.39 bhp,7.0,41.3 Lakh,10.89
1,Hyundai i20 Sportz,Pune,2010,102800,Diesel,Automatic,First,19.29 kmpl,1973 CC,204.57 bhp,5.0,,18.96
2,Skoda Yeti Ambition,Delhi,2006,120317,Diesel,Manual,First,19.3 kmpl,2186 CC,175.17 bhp,7.0,63.11 Lakh,15.79
3,Audi Q3 2.0 TDI,Hyderabad,2015,49027,Diesel,Automatic,First,18.88 kmpl,1812 CC,203.29 bhp,7.0,98.2 Lakh,63.75
4,Hyundai i10 Magna,Pune,2007,207392,Diesel,Automatic,First,25.22 kmpl,1181 CC,89.93 bhp,7.0,30.37 Lakh,8.83
5,Hyundai Elantra SX,Bangalore,1999,231218,Diesel,Automatic,Second,20.95 kmpl,1697 CC,147.2 bhp,7.0,,5.11
6,Mahindra KUV100 K8,Pune,2017,46672,Petrol,Manual,First,19.82 kmpl,1715 CC,130.9 bhp,5.0,44.43 Lakh,33.62
7,Honda WR-V VX,Delhi,2019,12144,Petrol,Manual,First,20.94 kmpl,1912 CC,154.07 bhp,5.0,,45.07
8,Nissan Terrano XV,Kolkata,2012,99749,Diesel,Manual,First,21.63 kmpl,1808 CC,151.76 bhp,5.0,42.66 Lakh,17.38
9,Volvo S60 D3,Ahmedabad,2010,69964,Petrol,Automatic,First,15.29 kmpl,3130 CC,221.97 bhp,5.0,112.46 Lakh,45.81
10,Honda Civic VX,Coimbatore,2009,60355,Diesel,Automatic,First,24.37 kmpl,1371 CC,104.8 bhp,5.0,36.89 Lakh,12.66
11,Mini Countryman Cooper D,Ahmedabad,2003,142451,Diesel,Automatic,Second,16.77 kmpl,2339 CC,249.43 bhp,7.0,105.21 Lakh,18.07
12,Maruti Swift Dzire VDI,Hyderabad,2019,14780,CNG,Automatic,First,22.98 km/kg,985 CC,96.21 bhp,7.0,24.8 Lakh,21.57
13,Jeep Compass Longitude,Ahmedabad,2003,384490,Petrol,Manual,First,17.7 kmpl,2374 CC,173.53 bhp,7.0,65.31 Lakh,9.35
14,Maruti Swift VDI,Chennai,2004,150488,Petrol,Manual,First,24.63 kmpl,1089 CC,107.08 bhp,4.0,,6.47
15,Mahindra Scorpio S10,Ahmedabad,2004,277790,Diesel,Manual,Third,24.74 kmpl,1122 CC,109.31 bhp,5.0,31.86 Lakh,5.07
16,Ford EcoSport Titanium,Ahmedabad,2014,46069,Petrol,Manual,Second,23.21 kmpl,1325 CC,105.82 bhp,7.0,37.48 Lakh,18.5
17,Toyota Yaris VX,Ahmedabad,2007,191524,Diesel,Manual,First,15.97 kmpl,2246 CC,215.05 bhp,7.0,,18.89
18,Honda Civic VX,Pune,2018,21443,Petrol,Manual,First,22.34 kmpl,1738 CC,118.8 bhp,7.0,41.42 Lakh,31.81
19,Tata Nexon XZ,Delhi,2017,16248,Petrol,Manual,First,24.12 kmpl,1198 CC,91.33 bhp,5.0,,25.13
